Guardians of the Galaxy,2014,8.1,333.13
Prometheus,2012,7,126.46
Split,2016,7.3,138.12
Sing,2016,7.2,270.32
Suicide Squad,2016,6.2,325.02
The Great Wall,2016,6.1,45.13
La La Land,2016,8.3,151.06
Mindhorn,2016,6.4,
The Lost City of Z,2016,7.1,8.01
Passengers,2016,7,100.01
Fantastic Beasts and Where to Find Them,2016,7.5,234.02
Hidden Figures,2016,7.8,169.27
Rogue One,2016,7.9,532.17
Moana,2016,7.7,248.75
Colossal,2016,6.4,2.87
The Secret Life of Pets,2016,6.6,368.31
Hacksaw Ridge,2016,8.2,67.12
Jason Bourne,2016,6.7,162.16
Lion,2016,8.1,51.69
Arrival,2016,8,100.5
Gold,2016,6.7,7.22
Manchester by the Sea,2016,7.9,47.7
Hounds of Love,2016,6.7,
Trolls,2016,6.5,153.69
Independence Day: Resurgence,2016,5.3,103.14
Paris pieds nus,2016,6.8,
Bahubali: The Beginning,2015,8.3,6.5
Dead Awake,2016,4.7,0.01
Bad Moms,2016,6.2,113.08
Assassin's Creed,2016,5.9,54.65
Why Him?,2016,6.3,60.31
Nocturnal Animals,2016,7.5,10.64
X-Men: Apocalypse,2016,7.1,155.33
Deadpool,2016,8,363.02
Resident Evil: The Final Chapter,2016,5.6,26.84
Captain America: Civil War,2016,7.9,408.08
Interstellar,2014,8.6,187.99
Doctor Strange,2016,7.6,232.6
The Magnificent Seven,2016,6.9,93.38
5- 25- 77,2007,7.1,
Sausage Party,2016,6.3,97.66
Moonlight,2016,7.5,27.85
Don't Fuck in the Woods,2016,2.7,
The Founder,2016,7.2,12.79
Lowriders,2016,6.3,4.21
Pirates of the Caribbean: On Stranger Tides,2011,6.7,241.06
Miss Sloane,2016,7.3,3.44
Fallen,2016,5.6,
Star Trek Beyond,2016,7.1,158.8
The Last Face,2016,3.7,
Star Wars: Episode VII - The Force Awakens,2015,8.1,936.63
Underworld: Blood Wars,2016,5.8,30.35
Mother's Day,2016,5.6,32.46
John Wick,2014,7.2,43
The Dark Knight,2008,9,533.32
Silence,2016,7.3,7.08
Don't Breathe,2016,7.2,89.21
Me Before You,2016,7.4,56.23
Their Finest,2016,7,3.18
Sully,2016,7.5,125.07
Batman v Superman: Dawn of Justice,2016,6.7,330.25
The Autopsy of Jane Doe,2016,6.8,
The Girl on the Train,2016,6.5,75.31
Fifty Shades of Grey,2015,4.1,166.15
The Prestige,2006,8.5,53.08
Kingsman: The Secret Service,2014,7.7,128.25
Patriots Day,2016,7.4,31.86
Mad Max: Fury Road,2015,8.1,153.63
Wakefield,2016,7.5,0.01
Deepwater Horizon,2016,7.2,61.28
The Promise,2016,5.9,
Allied,2016,7.1,40.07
A Monster Calls,2016,7.5,3.73
Collateral Beauty,2016,6.8,30.98
Zootopia,2016,8.1,341.26
Pirates of the Caribbean: At World's End,2007,7.1,309.4
The Avengers,2012,8.1,623.28
Inglourious Basterds,2009,8.3,120.52
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,423.03
Ghostbusters,2016,5.3,128.34
Inception,2010,8.8,292.57
Captain Fantastic,2016,7.9,5.88
The Wolf of Wall Street,2013,8.2,116.87
Gone Girl,2014,8.1,167.74
Furious Seven,2015,7.2,350.03
Jurassic World,2015,7,652.18
Live by Night,2016,6.4,10.38
Avatar,2009,7.8,760.51
The Hateful Eight,2015,7.8,54.12
The Accountant,2016,7.4,86.2
Prisoners,2013,8.1,60.96
Warcraft,2016,7,47.17
The Help,2011,8.1,169.71
War Dogs,2016,7.1,43.02
Avengers: Age of Ultron,2015,7.4,458.99
The Nice Guys,2016,7.4,36.25
Kimi no na wa,2016,8.6,4.68
The Void,2016,5.8,0.15
Personal Shopper,2016,6.3,1.29
The Departed,2006,8.5,132.37
Legend,2015,7,1.87
Thor,2011,7,181.02
The Martian,2015,8,228.43
Contratiempo,2016,7.9,
The Man from U.N.C.L.E.,2015,7.3,45.43
Hell or High Water,2016,7.7,26.86
The Comedian,2016,5.4,1.66
The Legend of Tarzan,2016,6.3,126.59
All We Had,2016,5.8,
Ex Machina,2014,7.7,25.44
The Belko Experiment,2016,6.3,10.16
12 Years a Slave,2013,8.1,56.67
The Bad Batch,2016,6.1,
300,2006,7.7,210.59
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,380.96
Office Christmas Party,2016,5.8,54.73
The Neon Demon,2016,6.2,1.33
Dangal,2016,8.8,11.15
10 Cloverfield Lane,2016,7.2,71.9
Finding Dory,2016,7.4,486.29
Miss Peregrine's Home for Peculiar Children,2016,6.7,87.24
Divergent,2014,6.7,150.83
Mike and Dave Need Wedding Dates,2016,6,46.01
Boyka: Undisputed IV,2016,7.4,
The Dark Knight Rises,2012,8.5,448.13
The Jungle Book,2016,7.5,364
Transformers: Age of Extinction,2014,5.7,245.43
Nerve,2016,6.6,38.56
Mamma Mia!,2008,6.4,143.7
The Revenant,2015,8,183.64
Fences,2016,7.3,57.64
Into the Woods,2014,6,128
The Shallows,2016,6.4,55.12
Whiplash,2014,8.5,13.09
Furious 6,2013,7.1,238.67
The Place Beyond the Pines,2012,7.3,21.38
No Country for Old Men,2007,8.1,74.27
The Great Gatsby,2013,7.3,144.81
Shutter Island,2010,8.1,127.97
Brimstone,2016,7.1,
Star Trek,2009,8,257.7
Diary of a Wimpy Kid,2010,6.2,64
The Big Short,2015,7.8,70.24
Room,2015,8.2,14.68
Django Unchained,2012,8.4,162.8
Ah-ga-ssi,2016,8.1,2.01
The Edge of Seventeen,2016,7.4,14.26
Watchmen,2009,7.6,107.5
Superbad,2007,7.6,121.46
Inferno,2016,6.2,34.26
The BFG,2016,6.4,55.47
The Hunger Games,2012,7.2,408
White Girl,2016,5.8,0.2
Sicario,2015,7.6,46.88
Twin Peaks: The Missing Pieces,2014,8.1,
Aliens vs Predator - Requiem,2007,4.7,41.8
Pacific Rim,2013,7,101.79
"Crazy, Stupid, Love.",2011,7.4,84.24
Scott Pilgrim vs. the World,2010,7.5,31.49
Hot Fuzz,2007,7.9,23.62
Mine,2016,6,
Free Fire,2016,7,1.8
X-Men: Days of Future Past,2014,8,233.91
Jack Reacher: Never Go Back,2016,6.1,58.4
Casino Royale,2006,8,167.01
Twilight,2008,5.2,191.45
Now You See Me 2,2016,6.5,65.03
Woman in Gold,2015,7.3,33.31
13 Hours,2016,7.3,52.82
Spectre,2015,6.8,200.07
Nightcrawler,2014,7.9,32.28
Kubo and the Two Strings,2016,7.9,48.02
Beyond the Gates,2016,5.2,
Her,2013,8,25.56
Frozen,2013,7.5,400.74
Tomorrowland,2015,6.5,93.42
Dawn of the Planet of the Apes,2014,7.6,208.54
Tropic Thunder,2008,7,110.42
The Conjuring 2,2016,7.4,102.46
Ant-Man,2015,7.3,180.19
Bridget Jones's Baby,2016,6.7,24.09
The VVitch: A New-England Folktale,2015,6.8,25.14
Cinderella,2015,7,201.15
Realive,2016,5.9,
Forushande,2016,8,3.4
Love,2015,6,
Billy Lynn's Long Halftime Walk,2016,6.3,1.72
Crimson Peak,2015,6.6,31.06
Drive,2011,7.8,35.05
Trainwreck,2015,6.3,110.01
The Light Between Oceans,2016,7.2,12.53
Below Her Mouth,2016,5.6,
Spotlight,2015,8.1,44.99
Morgan,2016,5.8,3.91
Warrior,2011,8.2,13.65
Captain America: The First Avenger,2011,6.9,176.64
Hacker,2016,6.3,
Into the Wild,2007,8.1,18.35
The Imitation Game,2014,8.1,91.12
Central Intelligence,2016,6.3,127.38
Edge of Tomorrow,2014,7.9,100.19
A Cure for Wellness,2016,6.5,8.1
Snowden,2016,7.3,21.48
Iron Man,2008,7.9,318.3
Allegiant,2016,5.7,66
X: First Class,2011,7.8,146.41
Raw (II),2016,7.5,0.51
Paterson,2016,7.5,2.14
Bridesmaids,2011,6.8,169.08
The Girl with All the Gifts,2016,6.7,
San Andreas,2015,6.1,155.18
Spring Breakers,2012,5.3,14.12
Transformers,2007,7.1,318.76
Old Boy,2013,5.8,
Thor: The Dark World,2013,7,206.36
Gods of Egypt,2016,5.5,31.14
Captain America: The Winter Soldier,2014,7.8,259.75
Monster Trucks,2016,5.7,33.04
A Dark Song,2016,6.1,
Kick-Ass,2010,7.7,48.04
Hardcore Henry,2015,6.7,9.24
Cars,2006,7.1,244.05
It Follows,2014,6.9,14.67
The Girl with the Dragon Tattoo,2011,7.8,102.52
We're the Millers,2013,7,150.37
American Honey,2016,7,0.66
The Lobster,2015,7.1,8.7
Predators,2010,6.4,52
Maleficent,2014,7,241.41
Rupture,2016,4.8,
Pan's Labyrinth,2006,8.2,37.62
A Kind of Murder,2016,5.2,0
Apocalypto,2006,7.8,50.86
Mission: Impossible - Rogue Nation,2015,7.4,195
The Huntsman: Winter's War,2016,6.1,47.95
The Perks of Being a Wallflower,2012,8,17.74
Jackie,2016,6.8,13.96
The Disappointments Room,2016,3.9,2.41
The Grand Budapest Hotel,2014,8.1,59.07
The Host,2013,5.9,26.62
Fury,2014,7.6,85.71
Inside Out,2015,8.2,356.45
Rock Dog,2016,5.8,9.4
Terminator Genisys,2015,6.5,89.73
Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,88.76
Les Misérables,2012,7.6,148.78
Children of Men,2006,7.9,35.29
20th Century Women,2016,7.4,5.66
Spy,2015,7.1,110.82
The Intouchables,2011,8.6,13.18
Bonjour Anne,2016,4.9,0.32
Kynodontas,2009,7.3,0.11
Straight Outta Compton,2015,7.9,161.03
The Amazing Spider-Man 2,2014,6.7,202.85
The Conjuring,2013,7.5,137.39
The Hangover,2009,7.8,277.31
Battleship,2012,5.8,65.17
Rise of the Planet of the Apes,2011,7.6,176.74
Lights Out,2016,6.4,67.24
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,7.1,2.27
Birdman or (The Unexpected Virtue of Ignorance),2014,7.8,42.34
Black Swan,2010,8,106.95
Dear White People,2014,6.2,4.4
Nymphomaniac: Vol. I,2013,7,0.79
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,6,0.54
Knock Knock,2015,4.9,0.03
Dirty Grandpa,2016,6,35.54
Cloud Atlas,2012,7.5,27.1
X-Men Origins: Wolverine,2009,6.7,179.88
Satanic,2016,3.7,
Skyfall,2012,7.8,304.36
The Hobbit: An Unexpected Journey,2012,7.9,303
21 Jump Street,2012,7.2,138.45
Sing Street,2016,8,3.23
Ballerina,2016,6.8,
Oblivion,2013,7,89.02
22 Jump Street,2014,7.1,191.62
Zodiac,2007,7.7,33.05
Everybody Wants Some!!,2016,7,3.37
Iron Man Three,2013,7.2,408.99
Now You See Me,2013,7.3,117.7
Sherlock Holmes,2009,7.6,209.02
Death Proof,2007,7.1,
The Danish Girl,2015,7,12.71
Hercules,2014,6,72.66
Sucker Punch,2011,6.1,36.38
Keeping Up with the Joneses,2016,5.8,14.9
Jupiter Ascending,2015,5.3,47.38
Masterminds,2016,5.8,17.36
Iris,2016,6.1,
Busanhaeng,2016,7.5,2.13
Pitch Perfect,2012,7.2,65
Neighbors 2: Sorority Rising,2016,5.7,55.29
The Exception,2016,7.7,
Man of Steel,2013,7.1,291.02
The Choice,2016,6.6,18.71
Ice Age: Collision Course,2016,5.7,64.06
The Devil Wears Prada,2006,6.8,124.73
The Infiltrator,2016,7.1,15.43
There Will Be Blood,2007,8.1,40.22
The Equalizer,2014,7.2,101.53
Lone Survivor,2013,7.5,125.07
The Cabin in the Woods,2012,7,42.04
The House Bunny,2008,5.5,48.24
She's Out of My League,2010,6.4,31.58
Inherent Vice,2014,6.7,8.09
Alice Through the Looking Glass,2016,6.2,77.04
Vincent N Roxxy,2016,5.5,
The Fast and the Furious: Tokyo Drift,2006,6,62.49
How to Be Single,2016,6.1,46.81
The Blind Side,2009,7.7,255.95
La vie d'Adèle,2013,7.8,2.2
The Babadook,2014,6.8,0.92
The Hobbit: The Battle of the Five Armies,2014,7.4,255.11
Harry Potter and the Order of the Phoenix,2007,7.5,292
Snowpiercer,2013,7,4.56
The 5th Wave,2016,5.2,34.91
The Stakelander,2016,5.3,
The Visit,2015,6.2,65.07
Fast Five,2011,7.3,209.81
Step Up,2006,6.5,65.27
Lovesong,2016,6.4,0.01
RocknRolla,2008,7.3,5.69
In Time,2011,6.7,37.55
The Social Network,2010,7.7,96.92
The Last Witch Hunter,2015,6,27.36
Victor Frankenstein,2015,6,5.77
A Street Cat Named Bob,2016,7.4,0.04
Green Room,2015,7,3.22
Blackhat,2015,5.4,7.1
Storks,2016,6.9,72.66
American Sniper,2014,7.3,350.12
Dallas Buyers Club,2013,8,27.3
Lincoln,2012,7.4,182.2
Rush,2013,8.1,26.9
Before I Wake,2016,6.1,
Silver Linings Playbook,2012,7.8,132.09
Tracktown,2016,5.9,
The Fault in Our Stars,2014,7.8,124.87
Blended,2014,6.5,46.28
Fast & Furious,2009,6.6,155.02
Looper,2012,7.4,66.47
White House Down,2013,6.4,73.1
Pete's Dragon,2016,6.8,76.2
Spider-Man 3,2007,6.2,336.53
The Three Musketeers,2011,5.8,20.32
Stardust,2007,7.7,38.35
American Hustle,2013,7.3,150.12
Jennifer's Body,2009,5.1,16.2
Midnight in Paris,2011,7.7,56.82
Lady Macbeth,2016,7.3,
Joy,2015,6.6,56.44
The Dressmaker,2015,7.1,2.02
Café Society,2016,6.7,11.08
Insurgent,2015,6.3,130
Seventh Son,2014,5.5,17.18
Demain tout commence,2016,7.4,
The Theory of Everything,2014,7.7,35.89
This Is the End,2013,6.6,101.47
About Time,2013,7.8,15.29
Step Brothers,2008,6.9,100.47
Clown,2014,5.7,0.05
Star Trek Into Darkness,2013,7.8,228.76
Zombieland,2009,7.7,75.59
"Hail, Caesar!",2016,6.3,30
Slumdog Millionaire,2008,8,141.32
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,292.3
American Wrestler: The Wizard,2016,6.9,
The Amazing Spider-Man,2012,7,262.03
Ben-Hur,2016,5.7,26.38
Sleight,2016,6,3.85
The Maze Runner,2014,6.8,102.41
Criminal,2016,6.3,14.27
Wanted,2008,6.7,134.57
Florence Foster Jenkins,2016,6.9,27.37
Collide,2016,5.7,2.2
Black Mass,2015,6.9,62.56
Creed,2015,7.6,109.71
Swiss Army Man,2016,7.1,4.21
The Expendables 3,2014,6.1,39.29
What We Do in the Shadows,2014,7.6,3.33
Southpaw,2015,7.4,52.42
Hush,2016,6.6,
Bridge of Spies,2015,7.6,72.31
The Lego Movie,2014,7.8,257.76
Everest,2015,7.1,43.25
Pixels,2015,5.6,78.75
Robin Hood,2010,6.7,105.22
The Wolverine,2013,6.7,132.55
John Carter,2012,6.6,73.06
Keanu,2016,6.3,20.57
The Gunman,2015,5.8,10.64
Steve Jobs,2015,7.2,17.75
Whisky Galore,2016,5,
Grown Ups 2,2013,5.4,133.67
The Age of Adaline,2015,7.2,42.48
The Incredible Hulk,2008,6.8,134.52
Couples Retreat,2009,5.5,109.18
Absolutely Anything,2015,6,
Magic Mike,2012,6.1,113.71
Minions,2015,6.4,336.03
The Black Room,2016,3.9,
Bronson,2008,7.1,0.1
Despicable Me,2010,7.7,251.5
The Best of Me,2014,6.7,26.76
The Invitation,2015,6.7,0.23
Zero Dark Thirty,2012,7.4,95.72
Tangled,2010,7.8,200.81
The Hunger Games: Mockingjay - Part 2,2015,6.6,281.67
Vacation,2015,6.1,58.88
Taken,2008,7.8,145
Pitch Perfect 2,2015,6.5,183.44
Monsters University,2013,7.3,268.49
Elle,2016,7.2,
Mechanic: Resurrection,2016,5.6,21.2
Tusk,2014,5.4,1.82
The Headhunter's Calling,2016,6.9,
Atonement,2007,7.8,50.92
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,294.98
Shame,2011,7.2,4
Hanna,2011,6.8,40.25
The Babysitters,2007,5.7,0.04
Pride and Prejudice and Zombies,2016,5.8,10.91
300: Rise of an Empire,2014,6.2,106.37
London Has Fallen,2016,5.9,62.4
The Curious Case of Benjamin Button,2008,7.8,127.49
Sin City: A Dame to Kill For,2014,6.5,13.75
The Bourne Ultimatum,2007,8.1,227.14
Srpski film,2010,5.2,
The Purge: Election Year,2016,6,79
3 Idiots,2009,8.4,6.52
Zoolander 2,2016,4.7,28.84
World War Z,2013,7,202.35
Mission: Impossible - Ghost Protocol,2011,7.4,209.36
Let Me Make You a Martyr,2016,6.4,
Filth,2013,7.1,0.03
The Longest Ride,2015,7.1,37.43
The imposible,2012,7.6,19
Kick-Ass 2,2013,6.6,28.75
Folk Hero & Funny Guy,2016,5.6,
Oz the Great and Powerful,2013,6.3,234.9
Brooklyn,2015,7.5,38.32
Coraline,2009,7.7,75.28
Blue Valentine,2010,7.4,9.7
The Thinning,2016,6,
Silent Hill,2006,6.6,46.98
Dredd,2012,7.1,13.4
Hunt for the Wilderpeople,2016,7.9,5.2
Big Hero 6,2014,7.8,222.49
Carrie,2013,5.9,35.27
Iron Man 2,2010,7,312.06
Demolition,2015,7,1.82
Pandorum,2009,6.8,10.33
Olympus Has Fallen,2013,6.5,98.9
I Am Number Four,2011,6.1,55.09
Jagten,2012,8.3,0.61
The Proposal,2009,6.7,163.95
Get Hard,2015,6,90.35
Just Go with It,2011,6.4,103.03
Revolutionary Road,2008,7.3,22.88
The Town,2010,7.6,92.17
The Boy,2016,6,35.79
Denial,2016,6.6,4.07
Predestination,2014,7.5,
Goosebumps,2015,6.3,80.02
Sherlock Holmes: A Game of Shadows,2011,7.5,186.83
Salt,2010,6.4,118.31
Enemy,2013,6.9,1.01
District 9,2009,8,115.65
The Other Guys,2010,6.7,119.22
American Gangster,2007,7.8,130.13
Marie Antoinette,2006,6.4,15.96
2012,2009,5.8,166.11
Harry Potter and the Half-Blood Prince,2009,7.5,301.96
Argo,2012,7.7,136.02
Eddie the Eagle,2016,7.4,15.79
The Lives of Others,2006,8.5,11.28
Pet,2016,5.7,
Paint It Black,2016,8.3,
Macbeth,2015,6.7,
Forgetting Sarah Marshall,2008,7.2,62.88
The Giver,2014,6.5,45.09
Triple 9,2016,6.3,12.63
Perfetti sconosciuti,2016,7.7,
Angry Birds,2016,6.3,107.51
Moonrise Kingdom,2012,7.8,45.51
Hairspray,2007,6.7,118.82
Safe Haven,2013,6.7,71.35
Focus,2015,6.6,53.85
Ratatouille,2007,8,206.44
Stake Land,2010,6.5,0.02
The Book of Eli,2010,6.9,94.82
